build/assets.js: line 16, col 24, eval is evil.
node_modules/stitch/node_modules/async/test/test-async.js: line 1200, col 45, Extra comma.
node_modules/stitch/node_modules/async/test/test-async.js: line 1208, col 9, ['queue'] is better written in dot notation.
node_modules/stitch/node_modules/async/test/test-async.js: line 1349, col 9, ['memoize'] is better written in dot notation.
node_modules/stitch/node_modules/async/test/test-async.js: line 1373, col 9, ['unmemoize'] is better written in dot notation.
node_modules/stitch/node_modules/async/test/test-async.js: line 1397, col 2, Missing semicolon.
node_modules/stitch/node_modules/async/test/test-async.js: line 1412, col 2, Missing semicolon.
node_modules/stitch/node_modules/async/test/test-async.js: line 1469, col 6, Unnecessary semicolon.
node_modules/stitch/node_modules/async/test/test-async.js: line 1474, col 6, Unnecessary semicolon.
node_modules/stitch/node_modules/async/test/test-async.js: line 1479, col 6, Unnecessary semicolon.
node_modules/stitch/node_modules/async/test/test-async.js: line 1484, col 6, Unnecessary semicolon.
node_modules/stitch/node_modules/async/test/test-async.js: line 1504, col 6, Unnecessary semicolon.
node_modules/stitch/node_modules/async/test/test-async.js: line 1509, col 6, Unnecessary semicolon.
node_modules/stitch/node_modules/async/test/test-async.js: line 1514, col 6, Unnecessary semicolon.
node_modules/stitch/node_modules/async/test/test-async.js: line 1519, col 6, Unnecessary semicolon.
node_modules/stitch/node_modules/async/test/test-async.js: line 1546, col 28, Use '===' to compare with '0'.
node_modules/stitch/node_modules/async/test/test-async.js: line 1551, col 24, Use '===' to compare with '0'.
node_modules/stitch/node_modules/async/test/test-async.js: line 1551, col 44, Use '===' to compare with '0'.
node_modules/stitch/node_modules/async/test/test-async.js: line 1568, col 20, Extra comma.
node_modules/stitch/node_modules/async/dist/async.min.js: line 1, col 152, Expected an assignment or function call and instead saw an expression.
node_modules/stitch/node_modules/async/dist/async.min.js: line 1, col 153, Missing semicolon.
node_modules/stitch/node_modules/async/dist/async.min.js: line 1, col 153, Expected an identifier and instead saw ','.
node_modules/stitch/node_modules/async/dist/async.min.js: line 1, col 153, Expected an assignment or function call and instead saw an expression.
node_modules/stitch/node_modules/async/dist/async.min.js: line 1, col 154, Missing semicolon.
node_modules/stitch/node_modules/async/dist/async.min.js: line 1, col 192, Missing semicolon.
node_modules/stitch/node_modules/async/dist/async.min.js: line 1, col 192, Expected an identifier and instead saw '='.
node_modules/stitch/node_modules/async/dist/async.min.js: line 1, col 192, Expected an assignment or function call and instead saw an expression.
node_modules/stitch/node_modules/async/dist/async.min.js: line 1, col 193, Missing semicolon.
node_modules/stitch/node_modules/async/dist/async.min.js: line 1, col 193, Expected an assignment or function call and instead saw an expression.
node_modules/stitch/node_modules/async/dist/async.min.js: line 1, col 194, Missing semicolon.
node_modules/stitch/node_modules/async/dist/async.min.js: line 1, col 194, Expected an identifier and instead saw ','.
node_modules/stitch/node_modules/async/dist/async.min.js: line 1, col 194, Expected an assignment or function call and instead saw an expression.
node_modules/stitch/node_modules/async/dist/async.min.js: line 1, col 195, Missing semicolon.
node_modules/stitch/node_modules/async/dist/async.min.js: line 1, col 195, Expected an assignment or function call and instead saw an expression.
node_modules/stitch/node_modules/async/dist/async.min.js: line 1, col 196, Missing semicolon.
node_modules/stitch/node_modules/async/dist/async.min.js: line 1, col 290, Missing semicolon.
node_modules/stitch/node_modules/async/dist/async.min.js: line 1, col 385, Missing semicolon.
node_modules/stitch/node_modules/async/dist/async.min.js: line 1, col 387, Missing semicolon.
node_modules/stitch/node_modules/async/dist/async.min.js: line 1, col 387, Expected an identifier and instead saw ','.
node_modules/stitch/node_modules/async/dist/async.min.js: line 1, col 387, Expected an assignment or function call and instead saw an expression.
node_modules/stitch/node_modules/async/dist/async.min.js: line 1, col 388, Missing semicolon.
node_modules/stitch/node_modules/async/dist/async.min.js: line 1, col 388, Expected an assignment or function call and instead saw an expression.
node_modules/stitch/node_modules/async/dist/async.min.js: line 1, col 389, Missing semicolon.
node_modules/stitch/node_modules/async/dist/async.min.js: line 1, col 472, Missing semicolon.
node_modules/stitch/node_modules/async/dist/async.min.js: line 1, col 474, Expected ')' to match '(' from line 1 and instead saw ','.
node_modules/stitch/node_modules/async/dist/async.min.js: line 1, col 475, Missing semicolon.
node_modules/stitch/node_modules/async/dist/async.min.js: line 1, col 475, Expected an assignment or function call and instead saw an expression.
node_modules/stitch/node_modules/async/dist/async.min.js: line 1, col 476, Missing semicolon.
node_modules/stitch/node_modules/async/dist/async.min.js: line 1, col 476, Expected an identifier and instead saw ')'.
node_modules/stitch/node_modules/async/dist/async.min.js: line 1, col 476, Expected an assignment or function call and instead saw an expression.
node_modules/stitch/node_modules/async/dist/async.min.js: line 1, col 477, Missing semicolon.
node_modules/stitch/node_modules/async/dist/async.min.js: line 1, col 583, Expected an assignment or function call and instead saw an expression.
node_modules/stitch/node_modules/async/dist/async.min.js: line 1, col 593, Missing semicolon.
node_modules/stitch/node_modules/async/dist/async.min.js: line 1, col 701, Missing semicolon.
node_modules/stitch/node_modules/async/dist/async.min.js: line 1, col 788, Missing semicolon.
node_modules/stitch/node_modules/async/dist/async.min.js: line 1, col 809, Expected an assignment or function call and instead saw an expression.
node_modules/stitch/node_modules/async/dist/async.min.js: line 1, col 817, Missing semicolon.
node_modules/stitch/node_modules/async/dist/async.min.js: line 1, col 817, Expected an identifier and instead saw ','.
node_modules/stitch/node_modules/async/dist/async.min.js: line 1, col 817, Expected an assignment or function call and instead saw an expression.
node_modules/stitch/node_modules/async/dist/async.min.js: line 1, col 818, Missing semicolon.
node_modules/stitch/node_modules/async/dist/async.min.js: line 1, col 915, Expected ')' to match '(' from line 1 and instead saw ','.
node_modules/stitch/node_modules/async/dist/async.min.js: line 1, col 916, Expected ':' and instead saw 'c'.
node_modules/stitch/node_modules/async/dist/async.min.js: line 1, col 917, Expected an identifier and instead saw '='.
node_modules/stitch/node_modules/async/dist/async.min.js: line 1, col 917, Expected an assignment or function call and instead saw an expression.
node_modules/stitch/node_modules/async/dist/async.min.js: line 1, col 918, Missing semicolon.
node_modules/stitch/node_modules/async/dist/async.min.js: line 1, col 926, Missing name in function declaration.
node_modules/stitch/node_modules/async/dist/async.min.js: line 1, col 930, Expected an identifier and instead saw ')'.
node_modules/stitch/node_modules/async/dist/async.min.js: line 1, col 930, Expected an assignment or function call and instead saw an expression.
node_modules/stitch/node_modules/async/dist/async.min.js: line 1, col 931, Missing semicolon.
node_modules/stitch/node_modules/async/dist/async.min.js: line 1, col 931, Too many errors. (100% scanned).
node_modules/stitch/node_modules/async/lib/async.js: line 166, col 14, Don't make functions within a loop.
node_modules/stitch/node_modules/async/lib/async.js: line 604, col 50, Use '===' to compare with '0'.
node_modules/stitch/node_modules/async/lib/async.js: line 611, col 64, Use '===' to compare with '0'.
node_modules/stitch/node_modules/async/lib/async.js: line 687, col 8, Missing semicolon.
node_modules/stitch/node_modules/async/deps/nodeunit.js: line 496, col 19, Unexpected /*member 'assert'.
node_modules/stitch/node_modules/async/deps/nodeunit.js: line 508, col 31, Unexpected /*member 'async'.
node_modules/stitch/node_modules/async/deps/nodeunit.js: line 510, col 49, Unexpected /*member 'exports'.
node_modules/stitch/node_modules/async/deps/nodeunit.js: line 511, col 16, Unexpected /*member 'exports'.
node_modules/stitch/node_modules/async/deps/nodeunit.js: line 514, col 14, Unexpected /*member 'async'.
node_modules/stitch/node_modules/async/deps/nodeunit.js: line 517, col 11, Unexpected /*member 'noConflict'.
node_modules/stitch/node_modules/async/deps/nodeunit.js: line 518, col 14, Unexpected /*member 'async'.
node_modules/stitch/node_modules/async/deps/nodeunit.js: line 525, col 17, Unexpected /*member 'forEach'.
node_modules/stitch/node_modules/async/deps/nodeunit.js: line 526, col 24, Unexpected /*member 'forEach'.
node_modules/stitch/node_modules/async/deps/nodeunit.js: line 534, col 17, Unexpected /*member 'map'.
node_modules/stitch/node_modules/async/deps/nodeunit.js: line 535, col 24, Unexpected /*member 'map'.
node_modules/stitch/node_modules/async/deps/nodeunit.js: line 545, col 17, Unexpected /*member 'reduce'.
node_modules/stitch/node_modules/async/deps/nodeunit.js: line 546, col 24, Unexpected /*member 'reduce'.
node_modules/stitch/node_modules/async/deps/nodeunit.js: line 555, col 20, Unexpected /*member 'keys'.
node_modules/stitch/node_modules/async/deps/nodeunit.js: line 556, col 27, Unexpected /*member 'keys'.
node_modules/stitch/node_modules/async/deps/nodeunit.js: line 568, col 17, Unexpected /*member 'indexOf'.
node_modules/stitch/node_modules/async/deps/nodeunit.js: line 569, col 24, Unexpected /*member 'indexOf'.
node_modules/stitch/node_modules/async/deps/nodeunit.js: line 582, col 11, Unexpected /*member 'nextTick'.
node_modules/stitch/node_modules/async/deps/nodeunit.js: line 583, col 57, Unexpected /*member 'nextTick'.
node_modules/stitch/node_modules/async/deps/nodeunit.js: line 587, col 21, Unexpected /*member 'nextTick'.
node_modules/stitch/node_modules/async/deps/nodeunit.js: line 591, col 11, Unexpected /*member 'forEach'.
node_modules/stitch/node_modules/async/deps/nodeunit.js: line 612, col 11, Unexpected /*member 'forEachSeries'.
node_modules/stitch/node_modules/async/deps/nodeunit.js: line 641, col 42, Unexpected /*member 'forEach'.
node_modules/stitch/node_modules/async/deps/nodeunit.js: line 641, col 51, Unexpected /*member 'concat'.
node_modules/stitch/node_modules/async/deps/nodeunit.js: line 647, col 42, Unexpected /*member 'forEachSeries'.
node_modules/stitch/node_modules/async/deps/nodeunit.js: line 647, col 57, Unexpected /*member 'concat'.
node_modules/stitch/node_modules/async/deps/nodeunit.js: line 655, col 28, Unexpected /*member 'index'.
node_modules/stitch/node_modules/async/deps/nodeunit.js: line 655, col 38, Unexpected /*member 'value'.
node_modules/stitch/node_modules/async/deps/nodeunit.js: line 658, col 24, Unexpected /*member 'value'.
node_modules/stitch/node_modules/async/deps/nodeunit.js: line 659, col 27, Unexpected /*member 'index'.
node_modules/stitch/node_modules/async/deps/nodeunit.js: line 666, col 11, Unexpected /*member 'map'.
node_modules/stitch/node_modules/async/deps/nodeunit.js: line 667, col 11, Unexpected /*member 'mapSeries'.
node_modules/stitch/node_modules/async/deps/nodeunit.js: line 672, col 11, Unexpected /*member 'reduce'.
node_modules/stitch/node_modules/async/deps/nodeunit.js: line 673, col 15, Unexpected /*member 'forEachSeries'.
node_modules/stitch/node_modules/async/deps/nodeunit.js: line 683, col 11, Unexpected /*member 'inject'.
node_modules/stitch/node_modules/async/deps/nodeunit.js: line 683, col 26, Unexpected /*member 'reduce'.
node_modules/stitch/node_modules/async/deps/nodeunit.js: line 685, col 11, Unexpected /*member 'foldl'.
node_modules/stitch/node_modules/async/deps/nodeunit.js: line 685, col 25, Unexpected /*member 'reduce'.
node_modules/stitch/node_modules/async/deps/nodeunit.js: line 687, col 11, Unexpected /*member 'reduceRight'.
node_modules/stitch/node_modules/async/deps/nodeunit.js: line 690, col 12, Unexpected /*member 'reverse'.
node_modules/stitch/node_modules/async/deps/nodeunit.js: line 691, col 15, Unexpected /*member 'reduce'.
node_modules/stitch/node_modules/async/deps/nodeunit.js: line 694, col 11, Unexpected /*member 'foldr'.
node_modules/stitch/node_modules/async/deps/nodeunit.js: line 694, col 25, Unexpected /*member 'reduceRight'.
node_modules/stitch/node_modules/async/deps/nodeunit.js: line 699, col 28, Unexpected /*member 'index'.
node_modules/stitch/node_modules/async/deps/nodeunit.js: line 699, col 38, Unexpected /*member 'value'.
node_modules/stitch/node_modules/async/deps/nodeunit.js: line 702, col 24, Unexpected /*member 'value'.
node_modules/stitch/node_modules/async/deps/nodeunit.js: line 709, col 35, Unexpected /*member 'sort'.
node_modules/stitch/node_modules/async/deps/nodeunit.js: line 710, col 26, Unexpected /*member 'index'.
node_modules/stitch/node_modules/async/deps/nodeunit.js: line 710, col 36, Unexpected /*member 'index'.
node_modules/stitch/node_modules/async/deps/nodeunit.js: line 712, col 26, Unexpected /*member 'value'.
node_modules/stitch/node_modules/async/deps/nodeunit.js: line 712, col 26, Too many errors. (36% scanned).
node_modules/stitch/lib/stitch.js: line 7, col 25, Missing semicolon.
node_modules/stitch/lib/stitch.js: line 7, col 25, Expected an identifier and instead saw ','.
node_modules/stitch/lib/stitch.js: line 7, col 25, Expected an assignment or function call and instead saw an expression.
node_modules/stitch/lib/stitch.js: line 7, col 26, Missing semicolon.
node_modules/stitch/lib/stitch.js: line 7, col 49, Missing semicolon.
node_modules/stitch/lib/stitch.js: line 7, col 49, Expected an identifier and instead saw ','.
node_modules/stitch/lib/stitch.js: line 7, col 49, Expected an assignment or function call and instead saw an expression.
node_modules/stitch/lib/stitch.js: line 7, col 50, Missing semicolon.
node_modules/stitch/lib/stitch.js: line 7, col 67, Missing semicolon.
node_modules/stitch/lib/stitch.js: line 7, col 67, Expected an identifier and instead saw ','.
node_modules/stitch/lib/stitch.js: line 7, col 67, Expected an assignment or function call and instead saw an expression.
node_modules/stitch/lib/stitch.js: line 7, col 68, Missing semicolon.
node_modules/stitch/lib/stitch.js: line 40, col 12, 'err' is already defined.
node_modules/stitch/lib/stitch.js: line 45, col 63, Unnecessary semicolon.
node_modules/stitch/lib/stitch.js: line 46, col 73, Unnecessary semicolon.
node_modules/stitch/lib/stitch.js: line 47, col 53, Use '!==' to compare with 'null'.
node_modules/stitch/lib/stitch.js: line 48, col 43, Use '!==' to compare with 'null'.
node_modules/stitch/lib/stitch.js: line 49, col 57, Use '!==' to compare with 'null'.
node_modules/stitch/lib/stitch.js: line 51, col 43, Use '!==' to compare with 'null'.
node_modules/stitch/lib/stitch.js: line 82, col 32, Missing semicolon.
node_modules/stitch/lib/stitch.js: line 82, col 32, Expected an identifier and instead saw ','.
node_modules/stitch/lib/stitch.js: line 82, col 32, Expected an assignment or function call and instead saw an expression.
node_modules/stitch/lib/stitch.js: line 82, col 33, Missing semicolon.
node_modules/stitch/lib/stitch.js: line 82, col 59, Missing semicolon.
node_modules/stitch/lib/stitch.js: line 82, col 59, Expected an identifier and instead saw ','.
node_modules/stitch/lib/stitch.js: line 82, col 59, Expected an assignment or function call and instead saw an expression.
node_modules/stitch/lib/stitch.js: line 82, col 60, Missing semicolon.
node_modules/stitch/lib/stitch.js: line 179, col 26, Expected a conditional expression and instead saw an assignment.
node_modules/stitch/lib/stitch.js: line 183, col 26, Missing semicolon.
node_modules/stitch/lib/stitch.js: line 183, col 27, Expected an identifier and instead saw '='.
node_modules/stitch/lib/stitch.js: line 183, col 27, Expected an assignment or function call and instead saw an expression.
node_modules/stitch/lib/stitch.js: line 183, col 28, Missing semicolon.
node_modules/stitch/lib/stitch.js: line 183, col 29, Expected an assignment or function call and instead saw an expression.
node_modules/stitch/lib/stitch.js: line 195, col 18, 'err' is already defined.
node_modules/stitch/lib/stitch.js: line 199, col 13, Do not assign to the exception parameter.
node_modules/stitch/lib/stitch.js: line 220, col 47, Use '!==' to compare with 'null'.
node_modules/stitch/lib/stitch.js: line 220, col 79, Use '!==' to compare with 'null'.
node_modules/socket.io/support/node-websocket-client/test/test-readonly-attrs.js: line 40, col 14, 'e' is already defined.
node_modules/socket.io/support/node-websocket-client/examples/client.js: line 10, col 2, Missing semicolon.
node_modules/socket.io/support/node-websocket-client/lib/websocket.js: line 59, col 16, 'i' is already defined.
node_modules/socket.io/support/node-websocket-client/lib/websocket.js: line 60, col 17, 'pos' is already defined.
node_modules/socket.io/support/node-websocket-client/lib/websocket.js: line 99, col 2, Missing semicolon.
node_modules/socket.io/support/node-websocket-client/lib/websocket.js: line 187, col 16, It is not necessary to initialize 'stream' to 'undefined'.
node_modules/socket.io/support/node-websocket-client/lib/websocket.js: line 230, col 17, Unnecessary semicolon.
node_modules/socket.io/support/node-websocket-client/lib/websocket.js: line 240, col 29, Use '===' to compare with '0'.
node_modules/socket.io/support/node-websocket-client/lib/websocket.js: line 324, col 22, Use '===' to compare with '0'.
node_modules/socket.io/support/node-websocket-client/lib/websocket.js: line 456, col 25, ['Origin'] is better written in dot notation.
node_modules/socket.io/support/node-websocket-client/lib/websocket.js: line 489, col 19, 'u' is already defined.
node_modules/socket.io/support/node-websocket-client/lib/websocket.js: line 506, col 22, It is not necessary to initialize 'data' to 'undefined'.
node_modules/socket.io/test/stores.redis.test.js: line 8, col 30, Bad line breaking before ','.
node_modules/socket.io/test/stores.redis.test.js: line 9, col 28, Bad line breaking before ','.
node_modules/socket.io/test/stores.redis.test.js: line 10, col 30, Bad line breaking before ','.
node_modules/socket.io/test/stores.redis.test.js: line 21, col 7, Missing '()' invoking a constructor.
node_modules/socket.io/test/stores.redis.test.js: line 20, col 17, Bad line breaking before ','.
node_modules/socket.io/test/stores.redis.test.js: line 21, col 27, Missing '()' invoking a constructor.
node_modules/socket.io/test/stores.redis.test.js: line 36, col 7, Missing '()' invoking a constructor.
node_modules/socket.io/test/stores.redis.test.js: line 35, col 17, Bad line breaking before ','.
node_modules/socket.io/test/stores.redis.test.js: line 37, col 7, Missing '()' invoking a constructor.
node_modules/socket.io/test/stores.redis.test.js: line 36, col 17, Bad line breaking before ','.
node_modules/socket.io/test/stores.redis.test.js: line 38, col 7, Missing '()' invoking a constructor.
node_modules/socket.io/test/stores.redis.test.js: line 37, col 17, Bad line breaking before ','.
node_modules/socket.io/test/stores.redis.test.js: line 38, col 25, Bad line breaking before ','.
node_modules/socket.io/test/stores.redis.test.js: line 49, col 28, Expected an assignment or function call and instead saw an expression.
node_modules/socket.io/test/stores.redis.test.js: line 56, col 51, Expected an assignment or function call and instead saw an expression.
node_modules/socket.io/test/stores.redis.test.js: line 69, col 7, Missing '()' invoking a constructor.
node_modules/socket.io/test/stores.redis.test.js: line 68, col 21, Bad line breaking before ','.
node_modules/socket.io/test/stores.redis.test.js: line 69, col 35, Bad line breaking before ','.
node_modules/socket.io/test/stores.redis.test.js: line 83, col 25, Expected an identifier and instead saw 'true' (a reserved word).
node_modules/socket.io/test/stores.redis.test.js: line 83, col 25, Expected an assignment or function call and instead saw an expression.
node_modules/socket.io/test/stores.redis.test.js: line 87, col 27, Expected an identifier and instead saw 'false' (a reserved word).
node_modules/socket.io/test/stores.redis.test.js: line 87, col 27, Expected an assignment or function call and instead saw an expression.
node_modules/socket.io/test/stores.redis.test.js: line 94, col 31, Expected an identifier and instead saw 'false' (a reserved word).
node_modules/socket.io/test/stores.redis.test.js: line 94, col 31, Expected an assignment or function call and instead saw an expression.
node_modules/socket.io/test/stores.redis.test.js: line 125, col 56, Bad line breaking before ','.
node_modules/socket.io/test/stores.redis.test.js: line 128, col 32, Bad line breaking before ','.
node_modules/socket.io/test/stores.redis.test.js: line 129, col 37, Bad line breaking before ','.
node_modules/socket.io/test/stores.redis.test.js: line 140, col 25, Expected an identifier and instead saw 'true' (a reserved word).
node_modules/socket.io/test/stores.redis.test.js: line 140, col 25, Expected an assignment or function call and instead saw an expression.
node_modules/socket.io/test/stores.redis.test.js: line 144, col 27, Expected an identifier and instead saw 'true' (a reserved word).
node_modules/socket.io/test/stores.redis.test.js: line 144, col 27, Expected an assignment or function call and instead saw an expression.
node_modules/socket.io/test/stores.redis.test.js: line 148, col 43, Bad line breaking before ','.
node_modules/socket.io/test/stores.redis.test.js: line 149, col 51, Bad line breaking before ','.
node_modules/socket.io/test/stores.redis.test.js: line 154, col 29, Expected an identifier and instead saw 'false' (a reserved word).
node_modules/socket.io/test/stores.redis.test.js: line 154, col 29, Expected an assignment or function call and instead saw an expression.
node_modules/socket.io/test/stores.redis.test.js: line 158, col 31, Expected an identifier and instead saw 'false' (a reserved word).
node_modules/socket.io/test/stores.redis.test.js: line 158, col 31, Expected an assignment or function call and instead saw an expression.
node_modules/socket.io/test/stores.redis.test.js: line 171, col 56, Bad line breaking before ','.
node_modules/socket.io/test/stores.redis.test.js: line 174, col 32, Bad line breaking before ','.
node_modules/socket.io/test/stores.redis.test.js: line 175, col 37, Bad line breaking before ','.
node_modules/socket.io/test/stores.redis.test.js: line 186, col 25, Expected an identifier and instead saw 'true' (a reserved word).
node_modules/socket.io/test/stores.redis.test.js: line 186, col 25, Expected an assignment or function call and instead saw an expression.
node_modules/socket.io/test/stores.redis.test.js: line 190, col 27, Expected an identifier and instead saw 'true' (a reserved word).
node_modules/socket.io/test/stores.redis.test.js: line 190, col 27, Expected an assignment or function call and instead saw an expression.
node_modules/socket.io/test/stores.redis.test.js: line 213, col 32, Bad line breaking before ','.
node_modules/socket.io/test/stores.redis.test.js: line 214, col 53, Bad line breaking before ','.
node_modules/socket.io/test/common.js: line 12, col 29, Bad line breaking before ','.
node_modules/socket.io/test/common.js: line 13, col 17, Bad line breaking before ','.
node_modules/socket.io/test/common.js: line 14, col 26, Bad line breaking before ','.
node_modules/socket.io/test/common.js: line 15, col 28, Bad line breaking before ','.
node_modules/socket.io/test/common.js: line 35, col 13, Bad line breaking before ','.
node_modules/socket.io/test/common.js: line 38, col 2, Unnecessary semicolon.
node_modules/socket.io/test/common.js: line 56, col 29, Unescaped '{'.
node_modules/socket.io/test/common.js: line 56, col 38, Unescaped '}'.
node_modules/socket.io/test/common.js: line 73, col 55, Expected an assignment or function call and instead saw an expression.
node_modules/socket.io/test/common.js: line 194, col 41, Expected an assignment or function call and instead saw an expression.
node_modules/socket.io/test/common.js: line 229, col 7, Bad line breaking before ','.
node_modules/socket.io/test/common.js: line 231, col 9, Bad line breaking before '+'.
node_modules/socket.io/test/common.js: line 233, col 2, Unnecessary semicolon.
node_modules/socket.io/test/common.js: line 239, col 20, The '__proto__' property is deprecated.
node_modules/socket.io/test/io.test.js: line 12, col 30, Bad line breaking before ','.
node_modules/socket.io/test/io.test.js: line 13, col 22, Bad line breaking before ','.
node_modules/socket.io/test/io.test.js: line 14, col 26, Bad line breaking before ','.
