build/assets.js: line 16, col 24, eval is evil.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/tmp/instrument.js: line 90, col 17, 'console' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/tmp/instrument.js: line 95, col 20, 'i' is already defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/tmp/instrument.js: line 96, col 17, 'console' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/tmp/instrument2.js: line 3, col 11, 'require' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/tmp/instrument2.js: line 4, col 11, 'require' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/tmp/instrument2.js: line 14, col 35, Missing semicolon.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/tmp/instrument2.js: line 16, col 30, Missing semicolon.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/tmp/instrument2.js: line 17, col 41, Missing semicolon.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/tmp/instrument2.js: line 19, col 56, Missing semicolon.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/tmp/instrument2.js: line 25, col 58, Missing semicolon.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/tmp/instrument2.js: line 28, col 53, Missing semicolon.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/tmp/instrument2.js: line 96, col 23, 'test' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/tmp/instrument2.js: line 97, col 1, 'console' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/tmp/instrument2.js: line 101, col 9, 'a' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/tmp/instrument2.js: line 102, col 9, 'c' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/tmp/instrument2.js: line 102, col 14, 'a' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/tmp/instrument2.js: line 102, col 18, 'b' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/tmp/instrument2.js: line 103, col 9, Expected an assignment or function call and instead saw an expression.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/tmp/instrument2.js: line 107, col 9, Expected an identifier and instead saw 'const'.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/tmp/instrument2.js: line 107, col 9, Expected an assignment or function call and instead saw an expression.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/tmp/instrument2.js: line 107, col 14, Missing semicolon.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/tmp/instrument2.js: line 107, col 15, 'bar' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/tmp/instrument2.js: line 107, col 22, Missing semicolon.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/tmp/instrument2.js: line 107, col 22, Expected an identifier and instead saw ','.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/tmp/instrument2.js: line 107, col 22, Expected an assignment or function call and instead saw an expression.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/tmp/instrument2.js: line 107, col 23, Missing semicolon.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/tmp/instrument2.js: line 107, col 24, 'baz' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/tmp/instrument2.js: line 119, col 17, 'console' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/tmp/instrument2.js: line 121, col 20, 'i' is already defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/tmp/instrument2.js: line 122, col 17, 'console' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/tmp/instrument2.js: line 125, col 20, 'i' is already defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/tmp/instrument2.js: line 126, col 17, 'console' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/tmp/instrument2.js: line 128, col 20, 'i' is already defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/tmp/instrument2.js: line 129, col 17, 'console' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/tmp/instrument2.js: line 132, col 17, 'plurp' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/tmp/instrument2.js: line 133, col 17, 'a' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/tmp/instrument2.js: line 133, col 21, 'doX' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/tmp/instrument2.js: line 133, col 25, 'y' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/tmp/instrument2.js: line 133, col 31, 'goZoo' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/tmp/instrument2.js: line 134, col 17, 'b' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/tmp/instrument2.js: line 134, col 21, 'blerg' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/tmp/instrument2.js: line 134, col 32, 'y' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/tmp/instrument2.js: line 137, col 15, 'x' is already defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/tmp/instrument2.js: line 137, col 17, 'X' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/tmp/instrument2.js: line 137, col 22, 'Y' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/parse-js.js: line 62, col 16, 'array_to_hash' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/parse-js.js: line 90, col 22, 'array_to_hash' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/parse-js.js: line 123, col 34, 'array_to_hash' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/parse-js.js: line 132, col 21, 'array_to_hash' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/parse-js.js: line 139, col 22, 'array_to_hash' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/parse-js.js: line 139, col 36, 'characters' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/parse-js.js: line 143, col 38, Unescaped '-'.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/parse-js.js: line 145, col 17, 'array_to_hash' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/parse-js.js: line 192, col 24, 'array_to_hash' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/parse-js.js: line 192, col 38, 'characters' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/parse-js.js: line 194, col 30, 'array_to_hash' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/parse-js.js: line 194, col 44, 'characters' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/parse-js.js: line 196, col 18, 'array_to_hash' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/parse-js.js: line 196, col 32, 'characters' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/parse-js.js: line 198, col 24, 'array_to_hash' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/parse-js.js: line 198, col 38, 'characters' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/parse-js.js: line 212, col 2, Unnecessary semicolon.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/parse-js.js: line 217, col 2, Unnecessary semicolon.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/parse-js.js: line 221, col 2, Unnecessary semicolon.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/parse-js.js: line 225, col 2, Unnecessary semicolon.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/parse-js.js: line 229, col 2, Unnecessary semicolon.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/parse-js.js: line 233, col 2, Unnecessary semicolon.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/parse-js.js: line 243, col 2, Unnecessary semicolon.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/parse-js.js: line 253, col 2, Unnecessary semicolon.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/parse-js.js: line 261, col 18, Bad invocation.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/parse-js.js: line 264, col 10, Unnecessary semicolon.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/parse-js.js: line 265, col 2, Unnecessary semicolon.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/parse-js.js: line 273, col 2, Unnecessary semicolon.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/parse-js.js: line 276, col 43, Use '===' to compare with 'null'.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/parse-js.js: line 277, col 2, Unnecessary semicolon.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/parse-js.js: line 296, col 57, Unnecessary semicolon.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/parse-js.js: line 310, col 10, Unnecessary semicolon.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/parse-js.js: line 314, col 10, Unnecessary semicolon.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/parse-js.js: line 320, col 10, Unnecessary semicolon.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/parse-js.js: line 326, col 10, Unnecessary semicolon.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/parse-js.js: line 329, col 60, 'HOP' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/parse-js.js: line 329, col 64, 'UNARY_POSTFIX' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/parse-js.js: line 330, col 58, 'HOP' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/parse-js.js: line 331, col 55, 'HOP' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/parse-js.js: line 346, col 10, Unnecessary semicolon.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/parse-js.js: line 349, col 24, 'HOP' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/parse-js.js: line 351, col 10, Unnecessary semicolon.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/parse-js.js: line 360, col 10, Unnecessary semicolon.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/parse-js.js: line 364, col 10, Unnecessary semicolon.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/parse-js.js: line 371, col 45, Missing semicolon.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/parse-js.js: line 371, col 46, Expected an identifier and instead saw '='.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/parse-js.js: line 371, col 46, Expected an assignment or function call and instead saw an expression.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/parse-js.js: line 371, col 47, Missing semicolon.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/parse-js.js: line 371, col 48, Expected an assignment or function call and instead saw an expression.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/parse-js.js: line 375, col 45, Missing semicolon.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/parse-js.js: line 375, col 45, Too many errors. (27% scanned).
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/process.js: line 61, col 11, 'require' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/process.js: line 71, col 35, 'MAP' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/process.js: line 74, col 40, 'walk' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/process.js: line 77, col 10, Unnecessary semicolon.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/process.js: line 80, col 32, Use '!==' to compare with 'null'.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/process.js: line 81, col 34, 'MAP' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/process.js: line 81, col 50, 'walk' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/process.js: line 83, col 10, Unnecessary semicolon.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/process.js: line 95, col 43, 'MAP' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/process.js: line 95, col 59, 'walk' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/process.js: line 104, col 33, 'MAP' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/process.js: line 104, col 40, 'walk' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/process.js: line 105, col 35, Use '!==' to compare with 'null'.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/process.js: line 105, col 53, 'MAP' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/process.js: line 105, col 63, 'walk' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/process.js: line 106, col 35, Use '!==' to compare with 'null'.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/process.js: line 106, col 45, 'MAP' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/process.js: line 106, col 52, 'walk' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/process.js: line 110, col 43, 'walk' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/process.js: line 113, col 43, 'walk' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/process.js: line 113, col 55, 'MAP' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/process.js: line 113, col 65, 'walk' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/process.js: line 116, col 43, 'walk' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/process.js: line 116, col 55, 'MAP' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/process.js: line 117, col 54, 'walk' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/process.js: line 118, col 42, 'MAP' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/process.js: line 118, col 57, 'walk' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/process.js: line 128, col 43, 'walk' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/process.js: line 128, col 55, 'walk' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/process.js: line 128, col 64, 'walk' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/process.js: line 131, col 47, 'walk' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/process.js: line 131, col 61, 'walk' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/process.js: line 134, col 43, 'walk' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/process.js: line 137, col 43, 'walk' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/process.js: line 137, col 55, 'MAP' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/process.js: line 137, col 65, 'walk' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/process.js: line 140, col 63, 'MAP' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/process.js: line 140, col 73, 'walk' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/process.js: line 143, col 63, 'MAP' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/process.js: line 143, col 73, 'walk' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/process.js: line 146, col 43, 'walk' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/process.js: line 146, col 62, 'walk' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/process.js: line 146, col 71, 'walk' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/process.js: line 149, col 43, 'walk' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/process.js: line 149, col 55, 'walk' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/process.js: line 149, col 67, 'walk' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/process.js: line 149, col 79, 'walk' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/process.js: line 152, col 43, 'walk' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/process.js: line 152, col 55, 'walk' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/process.js: line 152, col 66, 'walk' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/process.js: line 152, col 66, Too many errors. (8% scanned).
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/squeeze-more.js: line 1, col 11, 'require' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/squeeze-more.js: line 2, col 11, 'require' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/squeeze-more.js: line 12, col 86, Use '===' to compare with '0'.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/squeeze-more.js: line 20, col 2, Unnecessary semicolon.
node_modules/socket.io/node_modules/socket.io-client/node_modules/uglify-js/lib/squeeze-more.js: line 22, col 1, 'exports' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/websocket-client/test/test-unix-send-fd.js: line 4, col 14, 'require' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/websocket-client/test/test-unix-send-fd.js: line 5, col 10, 'require' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/websocket-client/test/test-unix-send-fd.js: line 6, col 12, 'require' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/websocket-client/test/test-unix-send-fd.js: line 7, col 11, 'require' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/websocket-client/test/test-unix-send-fd.js: line 8, col 17, 'require' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/websocket-client/test/test-unix-send-fd.js: line 9, col 23, 'require' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/websocket-client/test/test-unix-send-fd.js: line 11, col 22, '__dirname' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/websocket-client/test/test-unix-send-fd.js: line 11, col 43, 'process' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/websocket-client/test/test-unix-send-fd.js: line 54, col 1, 'process' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/websocket-client/test/test-readonly-attrs.js: line 3, col 14, 'require' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/websocket-client/test/test-readonly-attrs.js: line 4, col 11, 'require' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/websocket-client/test/test-readonly-attrs.js: line 5, col 17, 'require' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/websocket-client/test/test-readonly-attrs.js: line 6, col 23, 'require' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/websocket-client/test/test-readonly-attrs.js: line 40, col 14, 'e' is already defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/websocket-client/test/test-basic.js: line 4, col 14, 'require' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/websocket-client/test/test-basic.js: line 5, col 17, 'require' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/websocket-client/test/test-basic.js: line 6, col 23, 'require' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/websocket-client/test/test-basic.js: line 60, col 1, 'process' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/websocket-client/test/test-ready-state.js: line 3, col 14, 'require' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/websocket-client/test/test-ready-state.js: line 4, col 17, 'require' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/websocket-client/test/test-ready-state.js: line 5, col 23, 'require' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/websocket-client/test/test-client-close.js: line 3, col 14, 'require' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/websocket-client/test/test-client-close.js: line 4, col 17, 'require' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/websocket-client/test/test-client-close.js: line 5, col 23, 'require' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/websocket-client/test/test-client-close.js: line 39, col 1, 'process' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/websocket-client/test/test-unix-sockets.js: line 3, col 14, 'require' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/websocket-client/test/test-unix-sockets.js: line 4, col 10, 'require' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/websocket-client/test/test-unix-sockets.js: line 5, col 12, 'require' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/websocket-client/test/test-unix-sockets.js: line 6, col 11, 'require' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/websocket-client/test/test-unix-sockets.js: line 7, col 17, 'require' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/websocket-client/test/test-unix-sockets.js: line 8, col 23, 'require' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/websocket-client/test/test-unix-sockets.js: line 10, col 22, '__dirname' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/websocket-client/test/test-unix-sockets.js: line 10, col 43, 'process' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/websocket-client/test/test-unix-sockets.js: line 38, col 1, 'process' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/websocket-client/test/test-server-close.js: line 3, col 14, 'require' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/websocket-client/test/test-server-close.js: line 4, col 17, 'require' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/websocket-client/test/test-server-close.js: line 5, col 23, 'require' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/websocket-client/test/test-server-close.js: line 37, col 1, 'process' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/websocket-client/examples/client.js: line 1, col 11, 'require' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/websocket-client/examples/client.js: line 2, col 17, 'require' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/websocket-client/examples/client.js: line 10, col 2, Missing semicolon.
node_modules/socket.io/node_modules/socket.io-client/node_modules/websocket-client/examples/server-unix.js: line 1, col 11, 'require' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/websocket-client/examples/server-unix.js: line 2, col 10, 'require' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/websocket-client/examples/server-unix.js: line 13, col 12, 'process' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/websocket-client/examples/client-unix.js: line 1, col 11, 'require' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/websocket-client/examples/client-unix.js: line 2, col 17, 'require' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/websocket-client/examples/client-unix.js: line 4, col 39, 'process' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/websocket-client/lib/websocket.js: line 1, col 14, 'require' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/websocket-client/lib/websocket.js: line 2, col 14, 'require' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/websocket-client/lib/websocket.js: line 3, col 14, 'require' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/websocket-client/lib/websocket.js: line 4, col 14, 'require' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/websocket-client/lib/websocket.js: line 5, col 12, 'require' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/websocket-client/lib/websocket.js: line 6, col 11, 'require' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/websocket-client/lib/websocket.js: line 7, col 14, 'require' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/websocket-client/lib/websocket.js: line 8, col 11, 'require' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/websocket-client/lib/websocket.js: line 20, col 27, 'process' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/websocket-client/lib/websocket.js: line 59, col 16, 'i' is already defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/websocket-client/lib/websocket.js: line 60, col 17, 'pos' is already defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/websocket-client/lib/websocket.js: line 99, col 2, Missing semicolon.
node_modules/socket.io/node_modules/socket.io-client/node_modules/websocket-client/lib/websocket.js: line 187, col 16, It is not necessary to initialize 'stream' to 'undefined'.
node_modules/socket.io/node_modules/socket.io-client/node_modules/websocket-client/lib/websocket.js: line 230, col 17, Unnecessary semicolon.
node_modules/socket.io/node_modules/socket.io-client/node_modules/websocket-client/lib/websocket.js: line 240, col 29, Use '===' to compare with '0'.
node_modules/socket.io/node_modules/socket.io-client/node_modules/websocket-client/lib/websocket.js: line 266, col 13, 'process' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/websocket-client/lib/websocket.js: line 321, col 13, 'serverCloseHandler' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/websocket-client/lib/websocket.js: line 324, col 22, Use '===' to compare with '0'.
node_modules/socket.io/node_modules/socket.io-client/node_modules/websocket-client/lib/websocket.js: line 337, col 9, 'process' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/websocket-client/lib/websocket.js: line 357, col 9, 'process' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/websocket-client/lib/websocket.js: line 386, col 9, 'process' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/websocket-client/lib/websocket.js: line 406, col 17, 'setTimeout' is not defined.
node_modules/socket.io/node_modules/socket.io-client/node_modules/websocket-client/lib/websocket.js: line 457, col 25, ['Origin'] is better written in dot notation.
node_modules/socket.io/node_modules/socket.io-client/node_modules/websocket-client/lib/websocket.js: line 472, col 24, It is not necessary to initialize 'httpClient' to 'undefined'.
node_modules/socket.io/node_modules/socket.io-client/node_modules/websocket-client/lib/websocket.js: line 488, col 55, 'urlScheme' is not defined.
